Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A804557,Poppy,09/15/2019 04:58:00 PM,09/15/2019 04:58:00 PM,3519 River Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Whippet Mix,Black/Black,Poppy,09/29/2019 06:38:00 PM,09/29/2019 06:38:00 PM,02/15/2019,Dog,Intact Female,7 months,Whippet Mix,Black/Black,0.0
A676517,,04/11/2014 10:23:00 AM,04/11/2014 10:23:00 AM,11575 Jollyville in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Gray/Black,,04/11/2014 10:57:00 AM,04/11/2014 10:57:00 AM,04/11/2012,Other,Unknown,2 years,Raccoon Mix,Gray/Black,1.0
A694101,Bella,12/20/2014 10:50:00 AM,12/20/2014 10:50:00 AM,5118 Heflin Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tricolor,Bella,12/20/2014 05:50:00 PM,12/20/2014 05:50:00 PM,12/20/2011,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tricolor,0.0
A684480,*Rory,07/24/2014 12:33:00 PM,07/24/2014 12:33:00 PM,E Parmer Ln & Samsung Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby/White,*Rory,08/14/2014 12:04:00 PM,08/14/2014 12:04:00 PM,04/09/2014,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Cream Tabby/White,0.0
A693687,Major,12/13/2014 05:50:00 PM,12/13/2014 05:50:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Fawn,Major,12/27/2014 01:56:00 PM,12/27/2014 01:56:00 PM,07/13/2013,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Fawn,0.0
A750777,Jj,06/04/2017 04:07:00 PM,06/04/2017 04:07:00 PM,4125 Saldelia Trl in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Rat Terrier Mix,White/Black,Jj,06/08/2017 03:37:00 PM,06/08/2017 03:37:00 PM,05/31/2015,Dog,Intact Male,2 years,Rat Terrier Mix,White/Black,0.0
A683216,Peggy,07/09/2014 12:58:00 PM,07/09/2014 12:58:00 PM,14811 Chicadee in Pflugerville (TX),Public Assist,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,Peggy,07/30/2014 01:46:00 PM,07/30/2014 01:46:00 PM,07/08/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,0.0
A665615,Abby,10/20/2013 12:01:00 PM,10/20/2013 12:01:00 PM,4708 Marblehead in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Border Collie/Labrador Retriever,Chocolate/White,Abby,10/20/2013 03:10:00 PM,10/20/2013 03:10:00 PM,05/20/2005,Dog,Spayed Female,8 years,Border Collie/Labrador Retriever,Chocolate/White,0.0
A698694,Boss,06/30/2015 04:13:00 PM,06/30/2015 04:13:00 PM,Rogge Ln And Reicher Dr in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,Boss,07/06/2015 03:48:00 PM,07/06/2015 03:48:00 PM,01/25/2015,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,0.0
A717901,*Lily,12/17/2015 01:02:00 PM,12/17/2015 01:02:00 PM,Reed Park Road in Jonestown (TX),Stray,Normal,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Calico,*Lily,06/11/2016 01:45:00 PM,06/11/2016 01:45:00 PM,12/01/2007,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Calico,1.0
A702790,Bentley,05/17/2015 08:54:00 PM,05/17/2015 08:54:00 PM,5330 N. Ih35 in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Black/White,Bentley,05/18/2015 12:20:00 PM,05/18/2015 12:20:00 PM,03/17/2015,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Black/White,0.0
A749583,Buddy,06/02/2017 06:21:00 PM,06/02/2017 06:21:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,6 months,Boston Terrier Mix,Yellow Brindle/White,Buddy,06/03/2017 02:41:00 PM,06/03/2017 02:41:00 PM,11/17/2016,Dog,Neutered Male,6 months,Boston Terrier Mix,Yellow Brindle/White,0.0
A741862,,01/10/2017 03:20:00 PM,01/10/2017 03:20:00 PM,15000 Hamilton Pool Rd in Bee Cave (TX),Stray,Normal,Dog,Intact Male,3 years,American Bulldog/Mastiff,White/Brown Brindle,,01/12/2017 05:42:00 PM,01/12/2017 05:42:00 PM,01/10/2014,Dog,Intact Male,3 years,American Bulldog/Mastiff,White/Brown Brindle,0.0
A695052,*Buggs,01/08/2015 11:35:00 AM,01/08/2015 11:35:00 AM,5603 Tura Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/Black,*Buggs,01/19/2015 02:21:00 PM,01/19/2015 02:21:00 PM,01/08/2014,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/Black,0.0
A771622,,05/07/2018 03:38:00 PM,05/07/2018 03:38:00 PM,5701 Johnny Morris Road in Austin (TX),Stray,Injured,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,,05/07/2018 05:11:00 PM,05/07/2018 05:11:00 PM,04/16/2018,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,1.0
A776877,,07/20/2018 01:34:00 PM,07/20/2018 01:34:00 PM,6502 Stoneleigh in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd Mix,Cream/Black,,07/24/2018 05:50:00 PM,07/24/2018 05:50:00 PM,07/20/2017,Dog,Spayed Female,1 year,German Shepherd Mix,Cream/Black,0.0
A587990,Cevrus,12/21/2013 09:12:00 AM,12/21/2013 09:12:00 AM,210 Public Way in Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Dachshund Mix,Black/White,Cevrus,10/20/2013 01:19:00 PM,10/20/2013 01:19:00 PM,05/09/2009,Dog,Neutered Male,4 years,Dachshund Mix,Black/White,0.0
A758226,,09/13/2017 07:39:00 AM,09/13/2017 07:39:00 AM,Del Valle (TX),Stray,Nursing,Dog,Intact Male,1 day,Labrador Retriever Mix,Brown/White,,11/08/2017 05:37:00 PM,11/08/2017 05:37:00 PM,09/12/2017,Dog,Neutered Male,1 month,Labrador Retriever Mix,Brown/White,0.0
A708327,*Xena,07/25/2015 06:45:00 PM,07/25/2015 06:45:00 PM,South Lamar & Manchaca in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue/White,*Xena,08/08/2015 03:22:00 PM,08/08/2015 03:22:00 PM,04/25/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue/White,0.0
A749503,,05/15/2017 06:24:00 PM,05/15/2017 06:24:00 PM,120 Maldonado Trl in Travis (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,,05/15/2017 07:18:00 PM,05/15/2017 07:18:00 PM,04/30/2017,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,0.0
A685403,Thor,08/10/2014 02:45:00 PM,08/10/2014 02:45:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,American Bulldog/Pointer,White/Tan,Thor,08/14/2014 04:08:00 PM,08/14/2014 04:08:00 PM,04/06/2014,Dog,Neutered Male,4 months,American Bulldog/Pointer,White/Tan,0.0
A682291,Dimond,06/26/2014 11:46:00 AM,06/26/2014 11:46:00 AM,8426 Goldfinch Ct in Austin (TX),Stray,Normal,Dog,Intact Female,8 years,Rottweiler Mix,Black/Tan,Dimond,06/28/2014 02:20:00 PM,06/28/2014 02:20:00 PM,06/26/2006,Dog,Intact Female,8 years,Rottweiler Mix,Black/Tan,0.0
A763225,,12/05/2017 02:42:00 PM,12/05/2017 02:42:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Brown,,12/08/2017 02:56:00 PM,12/08/2017 02:56:00 PM,06/05/2016,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Brown,0.0
A702201,*Odie,05/10/2015 03:43:00 PM,05/10/2015 03:43:00 PM,10409 Beard Ave in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,*Odie,05/17/2015 10:20:00 AM,05/17/2015 10:20:00 AM,04/13/2015,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,1.0
A761987,,11/13/2017 08:46:00 AM,11/13/2017 08:46:00 AM,Runberg Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Brown,,11/17/2017 04:34:00 PM,11/17/2017 04:34:00 PM,11/13/2015,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Brown,0.0
A726939,*Rylance,05/16/2016 06:18:00 PM,05/16/2016 06:18:00 PM,1St And William Cannon in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/White,*Rylance,05/23/2016 01:41:00 PM,05/23/2016 01:41:00 PM,05/16/2015,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/White,0.0
A792491,Spooky,04/11/2019 12:27:00 PM,04/11/2019 12:27:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 years,Domestic Longhair Mix,Black,Spooky,07/11/2019 11:54:00 AM,07/11/2019 11:54:00 AM,04/11/2009,Cat,Neutered Male,10 years,Domestic Longhair Mix,Black,0.0
A667077,Molly,11/12/2013 01:28:00 PM,11/12/2013 01:28:00 PM,7610 Cameron Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue,Molly,12/01/2013 12:38:00 PM,12/01/2013 12:38:00 PM,09/27/2013,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue,0.0
A671348,Chico,01/28/2014 06:25:00 PM,01/28/2014 06:25:00 PM,11406 Cozette Dr in Del Valle (TX),Stray,Normal,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,Chico,02/05/2014 04:25:00 PM,02/05/2014 04:25:00 PM,01/22/2012,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,0.0
A703937,*Harvey,05/30/2015 03:19:00 PM,05/30/2015 03:19:00 PM,Riverside/Crossing Place in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Chinese Sharpei,Tan,*Harvey,06/05/2015 05:17:00 PM,06/05/2015 05:17:00 PM,05/30/2013,Dog,Neutered Male,2 years,Chinese Sharpei,Tan,0.0
A639030,Cate,10/01/2013 01:36:00 PM,10/01/2013 01:36:00 PM,46Th And Ave G in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,German Shepherd Mix,Tan,Cate,10/02/2013 05:08:00 PM,10/02/2013 05:08:00 PM,10/08/2005,Dog,Spayed Female,7 years,German Shepherd Mix,Tan,0.0
A689362,Pookie,10/02/2014 05:18:00 PM,10/02/2014 05:18:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White,Pookie,12/04/2014 05:21:00 PM,12/04/2014 05:21:00 PM,10/02/2009,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White,0.0
A797130,*Grumpy,06/09/2019 04:29:00 PM,06/09/2019 04:29:00 PM,6121 Ponca Street in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue,*Grumpy,06/28/2019 12:08:00 PM,06/28/2019 12:08:00 PM,05/13/2019,Cat,Intact Male,1 month,Domestic Shorthair,Blue,0.0
A774999,,06/23/2018 10:18:00 AM,06/23/2018 10:18:00 AM,13500 Palmer Road in Travis (TX),Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,,06/23/2018 12:50:00 PM,06/23/2018 12:50:00 PM,06/23/2016,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,0.0
A778796,Yin,08/20/2018 02:10:00 PM,08/20/2018 02:10:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,White/Black,Yin,08/25/2018 04:06:00 PM,08/25/2018 04:06:00 PM,05/20/2018,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black,0.0
A738790,Winston,11/21/2016 07:38:00 AM,11/21/2016 07:38:00 AM,Highland Park in Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,West Highland Mix,White,Winston,11/21/2016 12:32:00 PM,11/21/2016 12:32:00 PM,09/05/2005,Dog,Neutered Male,11 years,West Highland Mix,White,0.0
A717980,Purdy,12/18/2015 05:36:00 PM,12/18/2015 05:36:00 PM,38Th St And Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund Wirehair Mix,Cream,Purdy,12/22/2015 06:52:00 PM,12/22/2015 06:52:00 PM,12/18/2014,Dog,Intact Female,1 year,Dachshund Wirehair Mix,Cream,0.0
A667091,,11/12/2013 02:16:00 PM,11/12/2013 02:16:00 PM,9708 Rodriguez Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,,11/14/2013 09:53:00 AM,11/14/2013 09:53:00 AM,11/12/2011,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,0.0
A744779,,03/07/2017 01:08:00 PM,03/07/2017 01:08:00 PM,3300 Park Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Brown,,03/12/2017 06:20:00 PM,03/12/2017 06:20:00 PM,03/07/2016,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown,0.0
A686034,,08/15/2014 06:48:00 PM,08/15/2014 06:48:00 PM,12901 N Ih 35 #1100 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,08/16/2014 08:39:00 AM,08/16/2014 08:39:00 AM,08/15/2013,Other,Unknown,1 year,Bat Mix,Brown,1.0
A665370,,10/16/2013 05:56:00 PM,10/16/2013 05:56:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Labrador Retriever Mix,Sable,,10/16/2013 06:41:00 PM,10/16/2013 06:41:00 PM,10/09/2013,Dog,Intact Male,1 week,Labrador Retriever Mix,Sable,0.0
A711131,Pig Pen,09/02/2015 01:55:00 PM,09/02/2015 01:55:00 PM,13229 Coomes Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Basset Hound Mix,Brown/White,Pig Pen,09/03/2015 06:23:00 PM,09/03/2015 06:23:00 PM,09/02/2013,Dog,Neutered Male,2 years,Basset Hound Mix,Brown/White,0.0
A766992,Ringo,02/20/2018 04:33:00 PM,02/20/2018 04:33:00 PM,Leander (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Labrador Retriever/Great Pyrenees,White,Ringo,02/25/2018 04:36:00 PM,02/25/2018 04:36:00 PM,02/20/2016,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,White,0.0
A729850,,06/24/2016 03:21:00 PM,06/24/2016 03:21:00 PM,1156 W. Cesar Chavez in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,,06/24/2016 03:24:00 PM,06/24/2016 03:24:00 PM,06/02/2016,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,0.0
A488304,Jack,05/19/2014 06:45:00 AM,05/19/2014 06:45:00 AM,4434 Frontier Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Parson Russell Terrier Mix,White/Brown,Jack,05/19/2014 12:11:00 PM,05/19/2014 12:11:00 PM,10/03/2005,Dog,Neutered Male,8 years,Parson Russell Terrier Mix,White/Brown,0.0
A744481,*Russell,03/01/2017 07:45:00 PM,03/01/2017 07:45:00 PM,4609 Dudmar St in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Jack Russell Terrier Mix,White/Red Merle,*Russell,03/10/2017 02:00:00 PM,03/10/2017 02:00:00 PM,03/01/2015,Dog,Intact Male,2 years,Jack Russell Terrier Mix,White/Red Merle,0.0
A688262,,09/17/2014 05:09:00 PM,09/17/2014 05:09:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Cairn Terrier Mix,Sable/White,,11/15/2014 05:29:00 PM,11/15/2014 05:29:00 PM,09/17/2014,Dog,Neutered Male,1 month,Cairn Terrier Mix,Sable/White,0.0
A665485,Bratt,10/18/2013 02:48:00 PM,10/18/2013 02:48:00 PM,1881 Grove Blvd. in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Boston Terrier/Beagle,Brown Brindle/White,Bratt,10/25/2013 11:31:00 AM,10/25/2013 11:31:00 AM,10/18/2008,Dog,Neutered Male,5 years,Boston Terrier/Beagle,Brown Brindle/White,0.0
A705024,*Polly,06/12/2015 10:50:00 AM,06/12/2015 10:50:00 AM,906 W Milton St in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair/Manchester Terrier,Black/Brown,*Polly,06/19/2015 01:57:00 PM,06/19/2015 01:57:00 PM,06/12/2012,Dog,Spayed Female,3 years,Chihuahua Shorthair/Manchester Terrier,Black/Brown,0.0
A726584,Sadie,05/12/2016 02:30:00 PM,05/12/2016 02:30:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Cocker Spaniel Mix,White/Brown,Sadie,05/14/2016 04:51:00 PM,05/14/2016 04:51:00 PM,05/13/2013,Dog,Spayed Female,3 years,Cocker Spaniel Mix,White/Brown,0.0
A755005,,07/27/2017 06:33:00 PM,07/27/2017 06:33:00 PM,120 Maldonado Trail in Travis (TX),Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair Mix,Orange Tabby,,07/27/2017 07:00:00 PM,07/27/2017 07:00:00 PM,07/24/2017,Cat,Unknown,3 days,Domestic Shorthair Mix,Orange Tabby,0.0
A778570,,08/17/2018 09:14:00 AM,08/17/2018 09:14:00 AM,Trappers Trl And Damita Jo in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,German Shepherd Mix,Brown/Black,,08/21/2018 11:05:00 AM,08/21/2018 11:05:00 AM,07/05/2018,Dog,Intact Female,1 month,German Shepherd Mix,Brown/Black,0.0
A793602,,04/27/2019 12:17:00 PM,04/27/2019 12:17:00 PM,8312 North Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Cream,,05/04/2019 07:16:00 PM,05/04/2019 07:16:00 PM,04/27/2018,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Cream,0.0
A577861,Goyo,01/13/2016 12:47:00 PM,01/13/2016 12:47:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Labrador Retriever,Yellow,Goyo,01/13/2016 07:11:00 PM,01/13/2016 07:11:00 PM,06/26/2008,Dog,Intact Male,7 years,Labrador Retriever,Yellow,0.0
A803564,,09/03/2019 08:54:00 AM,09/03/2019 08:54:00 AM,2900 Mill Reef Cv in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat,Black,,09/03/2019 10:34:00 AM,09/03/2019 10:34:00 AM,09/03/2018,Other,Unknown,,Bat,Black,1.0
A755537,,08/04/2017 02:52:00 PM,08/04/2017 02:52:00 PM,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,,08/04/2017 06:13:00 PM,08/04/2017 06:13:00 PM,07/04/2017,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A717290,Ava,12/05/2015 02:06:00 PM,12/05/2015 02:06:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,White,Ava,12/07/2015 12:00:00 AM,12/07/2015 12:00:00 AM,12/05/2011,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,White,0.0
A784631,Kiki,11/17/2018 05:59:00 PM,11/17/2018 05:59:00 PM,Manchaca And Fm 1626 in Travis (TX),Stray,Normal,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Tan,Kiki,11/18/2018 11:23:00 AM,11/18/2018 11:23:00 AM,12/01/2006,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Tan,0.0
A710632,*Roscoe,08/25/2015 01:06:00 PM,08/25/2015 01:06:00 PM,1626 And S 1St St in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pointer/American Pit Bull Terrier,White/Tan,*Roscoe,03/21/2016 05:38:00 PM,03/21/2016 05:38:00 PM,02/25/2014,Dog,Neutered Male,2 years,Pointer/American Pit Bull Terrier,White/Tan,0.0
A745315,Copper,03/16/2017 09:11:00 AM,03/16/2017 09:11:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Pointer/German Shorthair Pointer,Brown/White,Copper,04/14/2017 03:41:00 PM,04/14/2017 03:41:00 PM,11/08/2009,Dog,Neutered Male,7 years,Pointer/German Shorthair Pointer,Brown/White,0.0
A680249,*Otis,05/31/2014 01:09:00 PM,05/31/2014 01:09:00 PM,8100 Sonnet in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,*Otis,11/29/2014 02:16:00 PM,11/29/2014 02:16:00 PM,04/06/2014,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Orange Tabby,0.0
A746060,*Ella,03/28/2017 03:41:00 PM,03/28/2017 03:41:00 PM,4510 Lareina Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White,*Ella,04/16/2017 05:37:00 PM,04/16/2017 05:37:00 PM,03/28/2015,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White,0.0
A771954,,05/12/2018 02:07:00 PM,05/12/2018 02:07:00 PM,7623 Hiddenview Circle in Del Valle (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,,05/12/2018 06:21:00 PM,05/12/2018 06:21:00 PM,04/24/2018,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
A671079,,01/18/2014 11:02:00 AM,01/18/2014 11:02:00 AM,4Th And Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan,,01/25/2014 06:09:00 PM,01/25/2014 06:09:00 PM,01/18/2012,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,0.0
A807012,*Shadow,10/19/2019 03:08:00 PM,10/19/2019 03:08:00 PM,6336 Shadow Bend in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,White/Brown Tabby,*Shadow,01/06/2020 12:40:00 PM,01/06/2020 12:40:00 PM,10/19/2017,Cat,Spayed Female,2 years,Domestic Shorthair,White/Brown Tabby,0.0
A733555,*Socks,08/23/2016 04:35:00 PM,08/23/2016 04:35:00 PM,1831 Wells Branch Pkwy in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,*Socks,09/23/2016 05:07:00 PM,09/23/2016 05:07:00 PM,07/16/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,0.0
A710678,Mocha,08/26/2015 11:00:00 AM,08/26/2015 11:00:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Longhair Mix,Tortie,Mocha,10/18/2015 05:08:00 PM,10/18/2015 05:08:00 PM,08/26/2007,Cat,Spayed Female,8 years,Domestic Longhair Mix,Tortie,0.0
A391858,Nellie,03/16/2017 04:53:00 PM,03/16/2017 04:53:00 PM,2400 E Oltorf St in Austin (TX),Stray,Normal,Dog,Spayed Female,11 years,Labrador Retriever Mix,Cream,Nellie,03/19/2017 06:12:00 PM,03/19/2017 06:12:00 PM,03/27/2005,Dog,Spayed Female,11 years,Labrador Retriever Mix,Cream,0.0
A800956,*Biff,07/29/2019 12:56:00 PM,07/29/2019 12:56:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,2 months,Guinea Pig,Black/Orange,*Biff,08/13/2019 06:52:00 PM,08/13/2019 06:52:00 PM,04/29/2019,Other,Intact Male,3 months,Guinea Pig,Black/Orange,0.0
A706397,*Sally,06/28/2015 02:08:00 PM,06/28/2015 02:08:00 PM,4513 Blue Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Tortie,*Sally,07/23/2015 06:20:00 PM,07/23/2015 06:20:00 PM,05/28/2015,Cat,Spayed Female,1 month,Domestic Shorthair,Tortie,0.0
A788677,Baxter,02/06/2019 03:51:00 PM,02/06/2019 03:51:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Soft Coated Wheaten Terrier Mix,Tan,Baxter,02/07/2019 06:42:00 PM,02/07/2019 06:42:00 PM,02/06/2018,Dog,Neutered Male,1 year,Soft Coated Wheaten Terrier Mix,Tan,0.0
A773173,*Joey,05/28/2018 06:16:00 PM,05/28/2018 06:16:00 PM,Pecan Creek Parkway And Lake Creek Parkway in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Parson Russell Terrier/Beagle,White/Tan,*Joey,06/12/2018 01:27:00 PM,06/12/2018 01:27:00 PM,11/29/2009,Dog,Neutered Male,8 years,Parson Russell Terrier/Beagle,White/Tan,0.0
A799522,,07/09/2019 05:18:00 PM,07/09/2019 05:18:00 PM,5800 Techni Center Dr in Austin (TX),Stray,Normal,Other,Unknown,1 year,Guinea Pig,Brown/White,,07/11/2019 01:45:00 PM,07/11/2019 01:45:00 PM,07/09/2018,Other,Unknown,1 year,Guinea Pig,Brown/White,0.0
A768284,,03/16/2018 11:59:00 AM,03/16/2018 11:59:00 AM,6804 Covered Bridge Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby,,03/20/2018 04:28:00 PM,03/20/2018 04:28:00 PM,11/16/2017,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,0.0
A767905,Coco,03/09/2018 08:56:00 AM,03/09/2018 08:56:00 AM,2000 Conestoga Trl in Austin (TX),Stray,Injured,Dog,Intact Female,5 months,Pit Bull Mix,Black Brindle/White,Coco,03/09/2018 03:21:00 PM,03/09/2018 03:21:00 PM,09/09/2017,Dog,Intact Female,5 months,Pit Bull Mix,Black Brindle/White,0.0
A722369,Rex,03/15/2016 02:25:00 PM,03/15/2016 02:25:00 PM,6017 Open Range Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,9 months,Bullmastiff Mix,Brown Brindle,Rex,03/21/2016 02:06:00 PM,03/21/2016 02:06:00 PM,06/15/2015,Dog,Neutered Male,9 months,Bullmastiff Mix,Brown Brindle,0.0
A694489,,12/29/2014 01:02:00 PM,12/29/2014 01:02:00 PM,Stonelake And Great Hills in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Cavalier Span,Red/White,,01/02/2015 01:43:00 PM,01/02/2015 01:43:00 PM,12/29/2007,Dog,Intact Male,7 years,Cavalier Span,Red/White,0.0
A783735,Luna,11/05/2018 12:19:00 PM,11/05/2018 12:19:00 PM,7310 Salt Springs in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Rat Terrier Mix,Black/White,Luna,11/05/2018 02:45:00 PM,11/05/2018 02:45:00 PM,11/05/2014,Dog,Intact Female,4 years,Rat Terrier Mix,Black/White,0.0
